hedge,sentence,usage_a,usage_b,gold,hedge_gold
"relativamente","Hace <strong>relativamente</strong> poco me empece a interesar por la historia de las matematicas, encontre un libro bastante interesante ""la hitoira de las matematicas"" Development of mathematics, de E T bell, aunqeu un poco viejo (1940) parece ser un de las fuentes mas relevantes sobre el tema hasta nuestros dias (mencionado por Gardner ) en inteligencias multiples.","Esto debería de ser relativamente sencillo.","Otro",FALSE,FALSE
"tal vez","o <strong>tal vez</strong> todas son validas bajo determinadas cirunstancias.","Tal vez sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"encuentro","Todas ellas, y de forma independiente, narraban una secuencia que parecía seguir un mismo patrón: audición de un zumbido extraño; visión del propio cuerpo visualizado desde fuera; sensación de encontrarse en un túnel oscuro, al final del cual se percibe una luz; <strong>encuentro</strong> con familiares o amigos anteriormente fallecidos; un diálogo con un ser luminoso; visión retrospectiva de la propia vida... hasta experimentar el regreso al cuerpo, con un posterior cambio de valores vitales y una nueva percepción del fenómeno de la muerte.","Lo encuentro un poco cuestionable. (juicio)","Me encuentro en casa de María. (ubicación)",FALSE,FALSE
"siento","Me es fisicamente imposible, en 10 minutos tengo ya los ojos rojos pero si he podido hacerlo desde mi celular y no <strong>siento</strong> cansancio en los ojos.","Siento que podríamos trabajar más a fondo. (juicio)","Siento un dolor fuerte en el estómago. (sensación física)",FALSE,FALSE
"puede","Porqué aunque todo efecto tenga su causa,y a tal ley causal nada ni nadie se <strong>puede</strong> escapar.","Esta ruta puede ser peligrosa. (posibilidad)","José puede entrar gratuitamente con su credencial de estudiante. (capacidad)",FALSE,FALSE
"reducido","Evidentemente esto funciona dentro de un circulo <strong>reducido</strong> con personas especificas, por lo que no siempre tiene por qué funcionar tan bien, lo que además implica que...","El espacio para convivir es reducido. (pequeño, pero sin especificar)","Los fondos para el arte se han reducido. (disminuido; bajado)",FALSE,FALSE
"aparentemente","Si quieres hacer una analogía entre la vagina y el pene y compararlos con corrientes filosóficas <strong>aparentemente</strong> opuestas, allá tu.","Aparentemente habrá un concierto esta tarde. (parece que)","Otro",FALSE,FALSE
"a veces","soy extremadamente competitivo; <strong>a veces</strong> es una virtud, a veces es un vicio.","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"alguna","Y le refiero nuevamente lo que he escrito sobre la aletheia y el lethos no por que quiera repetirme no para que no quede esto último dicho de Dios como fundamento no es tan fundamenta quede en el aire sin explicación <strong>alguna</strong> y además la conclusión que asumo que para mi es importante en este punto que ante la imposibilidad de consenso se deben fijar las posiciones:","Alguna pluma habrá caído por la abertura.","Otro",FALSE,FALSE
"algo","Por ejemplo en la edad media, una buena manera de mantener el control era utilizando ilusiones mentales como la magia o la religion para infundir el temor hacia <strong>algo</strong> que dicta y controla la vida de los seres humanos (Dios).","Su salud es algo delicada. (se desconoce el grado)","Vi que algo se estaba moviendo. (se conoce la situación, no necesariamente los detalles)",FALSE,FALSE
"esencialmente","La máquina <strong>esencialmente</strong> está diseñada para interactuar con la inosfera, una capa de la atmósfera permanenetemente cargada de electricidad por el efecto dinamo del movimiento de rotación terrestre.","La película es esencialmente una parodia.","Otro",FALSE,FALSE
"medio","El que sea hereditaria simplemente garantiza que se evite su subasta al mejor postor, y nuevamente los intereses de por <strong>medio</strong>, y que quien desempeña el papelito esté formado en exclusiva para eso.","Juan está medio loco. (poco específico)","Mi asiento es el de en medio. (centro)",FALSE,FALSE
"parece","1. En el primer mensaje intente hacer un chiste ironico (al parecer sin exito), pense que añadiendo este emoticon , los que lo leyeran lo iban a entender (pero <strong>parece</strong> que no fue asi en tu caso...)","Me parece que hay que esperar. (juicio)","Te pareces a tu padre en esta foto. (semejanza)",FALSE,FALSE
"bastantes","Voy por la pagina 134 de este libro y me doy cuenta que me esta ayudadando mucho y, creo, que, al leer las 633 paginas, podrè dejar de quejarme de <strong>bastantes</strong> cosas.","Hay bastantes cosas por hacer.","Otro",FALSE,FALSE
"alguien","Genera nuevos órganos conforme incrementa su complejidad, la máquina es incapaz de cambiar, a no ser que <strong>alguien</strong> la cambie.","Alguien tendrá que limpiar este desastre. (no se sabe quién)","Carlos es alguien en quien confiar. (se sabe quién)",FALSE,FALSE
"mas o menos","Las dimensiones extra estarían compactificadas, o sea; <strong>mas o menos</strong> imagínate una manguera, si la observas de lejos verás sólo una línea, parece unidimensional; pero si la observas de cerca es un cilindro, o sea; ya es bidimensional....","Me dijeron más o menos qué tengo que hacer. (poco específico)","Usa más o menos azúcar de acuerdo a tu gusto. (cantidad concreta)",FALSE,FALSE
"seguido","- R: Nada, mi madre puso la silla de ruedas de espaldas a ellos para que no me vieran y acto <strong>seguido</strong> ellos empezaron también a insultar a mi madre y a reírse de ella.","Mis padres me visitan muy seguido.","Otro",FALSE,FALSE
"encuentro","No sé por qué <strong>encuentro</strong> relación con estas palabras...:","Lo encuentro un poco cuestionable. (juicio)","Me encuentro en casa de María. (ubicación)",FALSE,FALSE
"poco","Te advierto que hay algunos mensajes de un usuario llamado ""nemo"" que tienen <strong>poco</strong> que ver con el tema y que lo desvían, pero puedes seguir leyendo que más adelante se sigue hablando de los sueños.","Sería poco prudente hablarle de esa manera. (juicio)","Hay poco gente en el público. (cantidad concreta)",FALSE,FALSE
"un par","Pero pon un video donde se les vea cantar... yo empecé el hilo con esperanza de que personas que nunca se hayan acercado al carnaval, escuchándolo se acerquen un poco más, porque yo tengo la convicción de que cualquier persona que escuche <strong>un par</strong> de canciones ""buenas"" de carnaval acabará gustándole.","Tengo un par de sugerencias. (no es clara la cantidad, puede ser mayor a dos)","La tercia vence al par en un juego de póquer. (dos)",FALSE,FALSE
"confio","Si confió en el medico tomare los medicamentos que él me haya recetado, si <strong>confio</strong> en mi padre le dejare las llaves de mi casa cuando me voy de vacaciones.","Yo confío en que todo saldrá bien. (posibilidad)","Confío el ciudado de mis hijos a José.",FALSE,FALSE
"la mayoria","Lo que veo fatal es que una minoria mande a una mayoria; incluso imaginando un ayuntamiento donde la minoria es española y la mayoria inmigrante, no veo claro, aunque tampoco lo descarto del todo, que esa minoria se imponga a <strong>la mayoria</strong>.","La mayoría de ustedes me conoce.","Otro",FALSE,FALSE
"asumo","Bien, por otro lado veo que no ha negado mi queja, <strong>asumo</strong> que la acepta, entonces puede tomar el consejo señor Tomás.","Yo asumo que me darán un aumento. (posibilidad)","Yo asumo la posición de director. (acción)",FALSE,FALSE
"mas o menos","- Si quieres charlar de si corresponde o no ser católico, te digo <strong>mas o menos</strong> lo del primer punto.","Me dijeron más o menos qué tengo que hacer. (poco específico)","Usa más o menos azúcar de acuerdo a tu gusto. (cantidad concreta)",FALSE,FALSE
"alguno","En realidad el ente solo puede Ser (aunque tambien no-ser pero siempre desde un anterior «es» del que se derivaria su contrario: «no-ser»), pues en todo caso no habria ente <strong>alguno</strong>, pues incluso de la cosa de lo que vemos decimos igualmente «es entidad», «es algo», se dice entonces que el Ser entanto asi mismo posibilita lo ente (pues todo ente es y sin «es» no habria algo asi como lo que llamamos ente, cosa, etc...), se dice entonces que hay Ser del ente, podemos entonces tambien decir que en tanto el Ser no es algo pero tampoco es nada, y que posibilita al ente como ente, el ente tampoco seria del todo algo y del todo nada, un signo, un fantasma como diria Platon, pues el Ser posibilita al ente a ser como es.","Pedro no dejó rastro alguno.","Otro",FALSE,FALSE
"imagino","Si yo <strong>imagino</strong> el músculo separado de sus ""efectos"", le he negado...","Imagino que hay que actuar cuanto antes. (juicio)","Imagino un mundo sin violencia. (capacidad)",FALSE,FALSE
"casi","Fue la clásica profecía que se cumple a sí misma  <strong>casi</strong>.","Casi no hay librerías en el pueblo. (se desconoce la situación)","Casi llego tarde a la junta. (se conoce la situación)",FALSE,FALSE
"usualmente","Se puede creer en Dios simplemente como una fuerza o inteligencia que nos observa y guia nuestras almas, etc, es decir, que es una entidad metafísica superior que solo participa en otras entidades metafísicas, <strong>usualmente</strong> que afectan al ser humano, pero sin participar ni afectar en nada cualquier conocimiento físico o sensible.","Usualmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"por decir algo","Yo tuve mi etapa super-hombre, <strong>por decir algo</strong>, vamos si la tuve, hice cosas que traspasan lo correcto tan solo para llenar mi ego (no es aquí lugar para debatir de Nietzsche, estoy contando mi vida).","Podrías salir a comer, por decir algo. (sugerencia)","Castigaron a Manuel por decir algo ofensivo. (acción)",FALSE,FALSE
"encuentro","¿Yo? Yo siempre me arriesgo a no decir nada.... Aunque en la circularidad siempre <strong>encuentro</strong> la gran fortuna de tantearme a mi mismo una y otra vez.","Lo encuentro un poco cuestionable. (juicio)","Me encuentro en casa de María. (ubicación)",FALSE,FALSE
"asumo","No se si los irakies querian guerrear, (<strong>asumo</strong> que no) pero tuvieron que hacerlos porque debieron defenderse.","Yo asumo que me darán un aumento. (posibilidad)","Yo asumo la posición de director. (acción)",FALSE,FALSE
"algun","Cuando la base de <strong>algun</strong> razonamiento es una interpretación personal del mundo (normalmente en ultimo termino así es) se desbloquea la entrada a muchas otras opciones, siempre teniendo en cuenta minimos que exlcuyan el relativismo total.","Algún lápiz habrá caído por la abertura.","Otro",FALSE,FALSE
"algun","Y alguien quien depende de <strong>algun</strong> producto especifico para satisfacer algun deseo en particular necesita de aquel producto para satisfacer ese deseo.","Algún lápiz habrá caído por la abertura.","Otro",FALSE,FALSE
"algun","Con dicha cosa de <strong>algun</strong> modo nos sentimos identificados y automaticamente lo consideramos parte nuestra y nos apropiamos de ello.","Algún lápiz habrá caído por la abertura.","Otro",FALSE,FALSE
"sin duda","Seria algo parecido al concepto de ""humano"", <strong>sin duda</strong> vemos a muchos humanos por todos lados, pero unos niegan la humanidad de otros por mil diferentes razones, reduciendolos a animales, insectos, salvajes, gusanos, etc, etc.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material.",FALSE,FALSE
"varios","He colocado también a una mujer con <strong>varios</strong> hombre como imposibilidad de formar familia por el hecho, que a los varones, les sería imposible reconocer su paternidad sobre los hijos de su mujer.","Tenemos varios servicios disponibles.","Otro",FALSE,FALSE
"principalmente","Verán, para mi un filósofo <strong>principalmente</strong> es alguien que asume una actitud ""filosófica"" (en el sentido de la palabra) por encima de lo que haya estudiado (o incluso si ni siquiera ha estudiado), alguien que se toma en serio el problema de la verdad y que tiene inquietudes intelectuales, desde luego.","El orégano se usa principalmente como condimento.","Otro",FALSE,FALSE
"pienso","Pero de todas formas, como mujer, <strong>pienso</strong> que es daros una mala imagen.","Pienso que hay que esperar. (juicio)","Yo pienso en ti todas las tardes. (acción de pensar)",FALSE,FALSE
"usualmente","A mi <strong>usualmente</strong> me da mas hambre cuando estoy de buen humor","Usualmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"seguro","Un consejo que te doy a vos, porque personalmente, tampoco creo en la felicidad, pero estoy <strong>seguro</strong> que la gente humilde se esfuerza más por ser feliz que la gente con mucha plata (en general).","El evento seguro será un éxito.","No es seguro caminar por estas calles.",FALSE,FALSE
"podrias","No lo <strong>podrias</strong> haber dicho mejor.","Podrías considerar otra solución. (posibilidad)","Tú podrías imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"multiples","Entonces no habia esa gran ayuda de los <strong>multiples</strong> universos...","Tenemos múltiples servicios disponibles.","Otro",FALSE,FALSE
"deberia","Entonces, corrupción no es ""aprovechamiento de poder"" sino que significa que se aprovecha el poder de forma tal que se lo utiliza de forma contraria a la que supuestamente <strong>deberia</strong> aprovecharlo.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas.",FALSE,FALSE
"multiples","Como que no  en que mundo vives, existen multitud de documentos, desde los documentos romanos que demuestran la existencia de Jesucristo, hasta los <strong>multiples</strong> testimonios y milagros sellados por cientificos que no son capaces de explicarlo, hoy en dia.","Tenemos múltiples servicios disponibles.","Otro",FALSE,FALSE
"bastante","En el caso del alcohol ya se ha dicho muchas veces que sí, genera una dependencia física, pero otras drogas no lo hacne, la adicción es psicológica y se requiere de un consumo <strong>bastante</strong> habitual de la misma para que se desarrolle.","Hay bastante trabajo por hacer.","Otro",FALSE,FALSE
"usualmente","Samael es <strong>usualmente</strong> considerado como el verdadero nombre de Satán.","Usualmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"rara vez","oh si como respuesta a Albert e. para mi la SGm la gano en ese orden Rusia, EEUU, China, Italia, japon, Alemania, Francia e Inglaterra; claro esta que esta guerra significo la independencia de Africa y Asia algo que <strong>rara vez</strong> se señala","Rara vez ceno en ese restaurante.","Otro",FALSE,FALSE
"sin duda","Yo tambien diria que para ser fascista no hay que necesariamente ser racista, pero lo que pasa es que los racistas <strong>sin duda</strong> creen en una raza superior, es decir en una raza superior que otra cuando se trata de gobernar.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material.",FALSE,FALSE
"necesariamente","Por otro lado, se puede decir que lo que se no se puede imaginar no <strong>necesariamente</strong> no existe, ¿o si?","No necesariamente lloverá esta tarde. (no se sabe con certidumbre)","La política está necesariamente conectada a la economía. (inevitablemente)",FALSE,FALSE
"aproximadamente","Hay <strong>aproximadamente</strong> un huso muscular por cada 1000 fibras de músculo común.","La pared mide aproximadamente 15 metros.","Otro",FALSE,FALSE
"suena","fe razonada,,me <strong>suena</strong> a creencia con culpa..necesito justificar ante el mundo y ante mi que creo y porque creo ?","Tu idea me suena bien. (juicio)","Las bocinas suenan demasiado fuerte. (sonido)",FALSE,FALSE
"generalmente","He leído previamente las reglas del foro, y a pesar de que mi intención primera es respetar de toda forma sus pautas he de decir preventivamente que mis posturas son <strong>generalmente</strong> muy extremistas, aunque mi intención nunca será la de faltar al respeto de ninguna idea o persona.","Generalmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"diria","Yo <strong>diria</strong> que hasta ahora el maximo exponente serían los valores superiores de la DUDH: Igualdad, fraternidad, libertad, justicia y paz.","Yo diría que hay que esperar. (juicio)","Mi padre diría que eso está mal. (acción)",FALSE,FALSE
"reducido","el cobarde es el que ha sido <strong>reducido</strong> por el miedo.","El espacio para convivir es reducido. (pequeño, pero sin especificar)","Los fondos para el arte se han reducido. (disminuido; bajado)",FALSE,FALSE
"seguido","Se ha <strong>seguido</strong> la misma logica que cuando la gente decia que ""La tierra era plana"".","Mis padres me visitan muy seguido.","Otro",FALSE,FALSE
