hedge,sentence,usage1,usage2
"parcialmente","yo para credito de estudios obtuve tengo una TCEA de 10.5% que ya la pague, ahora <strong>parcialmente</strong> compre un auto con una TCEA de 9.5%.","Lo que dices es parcialmente verdadero.","Otro"
"generalmente","Un niño no tiene personalidad porque los padres deciden por él; a medida que crezca, ese niño irá desarrollando sus gustos y creencias, <strong>generalmente</strong> ayudado por sus amigos, ya que son los que le darán un aire fresco a su perspectiva en la vida.","Generalmente no salgo los jueves por la tarde.","Otro"
"diria","EN relacion calidad precio <strong>diria</strong> que el Nexus4...lo malo es que no se consigue asi nomas","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"a veces","<strong>a veces</strong>, tienes que utilizar contracciones y, a veces, no.","A veces puedo ser un poco molesto.","Otro"
"bastante","Aca encontre unos videos por accidente en el youtube que trata de los derechos humanos, es en buena cuenta algo <strong>bastante</strong> similiar a lo que pienso y ya habai publicado, asi que me gustaria compartirlo con ustedes a ver que opinan:","Hay bastante trabajo por hacer.","Otro"
"un par","Es que el ser humano es así, tiene su alta cuota de irracionalidad, sino mira que aún existen comunistas a pesar de habérseles derrumbado un muro en sus narices hace <strong>un par</strong> de décadas.","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"asumo","<strong>asumo</strong> que anteriormente ya haz tenido postpago ?","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"la mayoria","Desde mi punto de vista cuando se trata de necesidades basicas del ser humano tales como la salud, es inhumano poner costos elevados y que cualquier persona no pueda atenderse (como sucede en <strong>la mayoria</strong> de los paises occidentales, EUA es el UNICO pais donde no hay cobertura universal de salu... Bien ganado el mote de ""paraiso capitalista"" -porque en ese fatidico sistema solo eres feliz si tienes dinero-).","La mayoría de ustedes me conoce.","Otro"
"confio","Como veo que no hay problema en mencionar proveedores de servicios, aqui les dejo uno: en este yo <strong>confio</strong> porque siempre he trabajado con el.","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"parece","El de Metroid Prime Hunters me <strong>parece</strong> chévere.","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"multiples","Para mi hay <strong>multiples</strong> razones para estar en contra de los toros, a las ya conocidas de crueldad y tortura hacia los animales, me planteo otro problema mas profundo y es "" hasta que punto el animal humano tiene derecho a imponer sus normas a las otras especies animales""","Tenemos múltiples servicios disponibles.","Otro"
"poco","<strong>poco</strong> grave la situacion y me he kedado misio y lo que voy a conseguir esta semana es para","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"confio","Yo <strong>confio</strong> en un buen resultado para la vuelta en Trujillo.","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"un par","eso me paso <strong>un par</strong> de veces, creo que es porq alguien te quiero joder o una venganza o envidia de que salgas muy papi en tu foto de perfil.","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"tecnicamente","Las pantallas de Plasma poseen la mayor calidad de colores, de contraste (la mayor reproducción del color negro) y de tiempo de respuesta asi que <strong>tecnicamente</strong> seria el mas adecuado para jugar con una consola sin embargo ya hemos visto sus puntos en contra, la pantalla necesariamente será vidriada lo que produce reflejos del ambiente en lugares iluminados y existe la remota posibilidad de ""pantalla quemada"" que consiste en que al mostrar imágenes por un tiempo prolongado estas quedaban literalmente ""grabadas"" en la pantalla, algo asi como una huella...","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"rara vez","Era el “lazo” uno de sus medios ofensivos: montados los que le seguían en ligeros caballos, se precipitaban sobre las filas del enemigo revoloteando el lazo y haciéndolo caer sobre los que querían sacar de ellas, y en seguida ataban la otra extremidad de la cuerda a la cabeza de la silla del caballo que montaban y partían veloces arrastrando tras si al que habían lazado, y que <strong>rara vez</strong> quedaba con vida; todas estas operaciones se efectuaban en pocos momentos, y por lo común el jinete y el caballo escapaban de las balas, debido a la rapidez del asalto.","Rara vez ceno en ese restaurante.","Otro"
"asumo","He sido torpe (una vez más) y lo <strong>asumo</strong>.","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"considero","dicen que tenian meses planeandolo y la propia ingrid dice que al ver que llego el helicoptero por ellos y vio como se hablaban y trataban los terroristas y los convencieron de que iban a trasladarlos a otro lugar - que dicen era frecuente este cambio- hasta ella misma los <strong>considero</strong> terroristas y al final al tumbar al ""cesar"" ella penso que se habia caido y no, es que el pseudoterrorista ( que en realidad era del ejercito de colombia) lo habia maniatado de pies y cabezas y les dijo "" somos del ejercito colombiano estan libres ""","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"ocasionalmente","No se porque pero al no estar la seleccion de MI MEXICO QUERIDO simplemente y <strong>ocasionalmente</strong> veo los partidos buscando algun buen juego de conjunto o una genialidad pero ya no con el HUMOR de antes cuando estaba en juego la participacion de la seleccion mexicana.","Ocasionalmente visito a mis tíos en España.","Otro"
"imagino","No sé si habrá algun compatriota aquí, me <strong>imagino</strong> que si...","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"supongo","Seguir comprando mas diarios y empresas <strong>supongo</strong>","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"seguido","<strong>seguido</strong> de arresto domiciliario","Mis padres me visitan muy seguido.","Otro"
"esencialmente","En ésta, en efecto, el proceso ascético de formación de un sujeto <strong>esencialmente</strong> pensante, el ego cogitans, desea convivir con la perspectiva de un verdadero ser humano æcomo lo llama Descartesæ corporalmente comprometido y pendiente ya no tanto de la verdad como de la utilidad y felicidad que las cosas pueden reportarnos si acertamos a tomarlas con sabiduría.","La película es esencialmente una parodia.","Otro"
"diria","Ben Stiller, no cuenta y Joe Black, la verdad no es un Actor de Comedia propiamente dicho y salvo la ""Escuela del Rock"" no tiene otra obra notable <strong>diria</strong> yo","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"algun","Otra cosa gente, no quemen galeria jardin, hoy en dia uno los compra tranqui ahi, dentro de poco x culpa de clarin o <strong>algun</strong> otro medio de mierda, a alguien le va a caer la ficha y va a decidir hacer ilegal el nitrito de isopropilo...","Algún lápiz habrá caído por la abertura.","Otro"
