hedge,sentence,usage1,usage2
"multiples","Te cuento que hay zonas donde la demanda de hospedaje es superior a la oferta (es donde voy a hacer mi proyecto, claro) y esto no es un invento, lo he constatado en mis <strong>multiples</strong> viajes a esa zona y me lo confirmó un asesor del Instituto Costarricense de Turismo que me ayudó con mi plan de negocio.","Tenemos múltiples servicios disponibles.","Otro"
"supongo","No sé, <strong>supongo</strong> que si la gente me veía así en directo para que iba a evitar que me vieran en una foto :)","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"mas o menos","Es una ciudad que a los dos nos gusta bastante, pero mejoraría si conociésemos a alguien, ya que el albergue donde estamos no hay mucha gente que digamos y seguimos <strong>mas o menos</strong> con el jet lag jajajaja.","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"seguro","no <strong>seguro</strong> que noooo porque es tan majo majísimo!!","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"un poco","ESo es que tu cuerpo responde bien porque yo hace tres anos y medio que voy una media de 3 o 4 veces al gym y hago de todo... pero no he me he quedado cintura de avispa jajajaj se me ha acumulado debajo del ombligo <strong>un poco</strong> de volumen y no hay nada que hacer.Mucho ànimo que me da que eres una màquina porque 850 calorias en eliptica està muy bien.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"confio","Yo, cuando tenga un niño, <strong>confio</strong> en acostumbrarlo a tomar agua del grifo...","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"usualmente","Algunas personas comparten pisos (que no son propiedades de la universidad) con otros estudiantes pero <strong>usualmente</strong> durante pocos meses los problemas surgen cuando alguien decide que no van a pagar a pachas tal factura.","Usualmente no salgo los jueves por la tarde.","Otro"
"alguno","os lo digo porque tal vez le haya pasado a <strong>alguno</strong>, de todas formas no creo que sea muy importante si no lo tenéis, básicamente os decía el número que ya sale también en el mismo profex, al lado de inscrito, apuntadlo por si acaso...","Pedro no dejó rastro alguno.","Otro"
"parcialmente",", es un problema de sensibilidades, claro, puedo estar <strong>parcialmente</strong> de acuerdo.","Lo que dices es parcialmente verdadero.","Otro"
"sin duda","Luego está el problema del dinero, normalmente nunca quieren paggar como 2 personas si no como una y media, respecto a eso hay muchas posiciones y cada cual tiene su opinión, desde los que creen que el 1'5 está bien, pasando a los que consideran que <strong>sin duda</strong> como 2 o los que opinion que deberían soltar dinero por tres catorce dieciseis.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"propongo","<strong>propongo</strong> la semana festiva hispano-mexicana (de 2 a 5 de Mayo) en honor a tanta paliza bien dado a los franchutes.","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"sin duda","Tengo amigos norteamericanos de distintos orígenes, más amigas que amigos, algunas de ellas muy buenas a quienes confío a mis hijas <strong>sin duda</strong> alguna y con quienes comparto confidencias íntimas, pero aun así creo que los españoles tenemos más puntos culturales de conexión con otros latinoamericanos, incluyendo los mexicanos.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"probablemente ","<strong>probablemente </strong>el más famoso y antiguo de los mercados callejeros de Londres, con más de 1.000 puestos los domingos.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"usualmente","Gambas: <strong>usualmente</strong> shrimp.","Usualmente no salgo los jueves por la tarde.","Otro"
"varios","Ya me imagine que esto me pasaria, asi que lo que hice fue abrirme una cuenta en divisas en Espania (hay <strong>varios</strong> bancos que lo hacen, yo lo tengo con uno-e), de modo que he hecho una transferencia internacional en libras.","Tenemos varios servicios disponibles.","Otro"
"por decir algo","Hola me gustaría hablar sobre mi llegada como au pair a Londres, por decir algo y digo <strong>por decir algo</strong> porque la mujer me dijo que vivia en Londres cuando de verdad esta en la zona 8 cosa que por lo menos yo hubiera gustado saber, aunque bueno eso no es lo importante aqui.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"bastante","K.P. "" Pensaba que europa era un pais (pensamiento <strong>bastante</strong> extendido)","Hay bastante trabajo por hacer.","Otro"
"suena","Pero me <strong>suena</strong> que se puede sacar en la comisaría del aeropuerto en caso de extrema necesidad.","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"de repente","Que bien, cuant@s au pairs <strong>de repente</strong> cerquita :D! Ya vereis el verano aqui, a la orilla del lago, con los picnics y las barbacoas...mmmm que ganas!!!!!!!!","De repente sentí muchas ganas de jugar futbol.","Otro"
"quiza","<strong>quiza</strong> sea mas facil en el sur de alemania.","Quizá sea mejor que hablemos con tu familia.","Otro"
"basicamente","Es lo que se utiliza para uso terapeutico... <strong>basicamente</strong> un motorcito que mueve aire caliente y pasa a través del cogollamen.","La película es básicamente una parodia.","Otro"
"propongo","Bien, pues total, que tengo una cancion en castellano (de Fito y Fitipaldis) que quiero traducir al frances, para pasarsela a mi profe de guitarra, y se lo <strong>propongo</strong>.","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"gran parte","Por lo demás,encantado de que haya parado la nieve,freezing rain,blowing snow,chilling ""loquequieras"",etc...menos mal que me paso <strong>gran parte</strong> de la semana más al sur,que lo hace más llevadero.","Una gran parte de ustedes me conoce.","Otro"
"de repente","Merke... <strong>de repente</strong> no entiendo nada :-?","De repente sentí muchas ganas de jugar futbol.","Otro"
"parcialmente","Otra cosa es que esos gastos los asuma total o <strong>parcialmente</strong> el banco en beneficio del cliente y en otros casos el banco encima añade una comisión extra.","Lo que dices es parcialmente verdadero.","Otro"
"parcialmente","Trabajé en España con un chico de Frankfurt que su antigua empresa de informática en Alemania lo contrataba <strong>parcialmente</strong>, y a tiempo completo porque el no quería.","Lo que dices es parcialmente verdadero.","Otro"
"reducido","En cuanto a la Ley Orgánica 10/2002, de 23 de diciembre, de Calidad de la Educación, si bien es cierto que dedica todo un artículo al derecho de los padres, éste queda <strong>reducido</strong> a la elección de centro y a que los hijos reciban la educación religiosa y moral que esté de acuerdo con sus convicciones[9].","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"diria","Como <strong>diria</strong> mi madre, ¡Que con su pan se lo comán!","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"debe","A ver si nos enteramos de que España NO puede y NO <strong>debe</strong> gastar lo que NO tiene.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"bastante","Y como bien dice @solrac25581, no sabes nada de mi situacion, o por que he acabado haciendo trabajos basura... que conste que el trabajo en si es bonito... a mi, por lo menos, me gusta <strong>bastante</strong>, pero lo que no me gusta es las putadas de los compañeros a veces por ser de fuera que he tenido que sufrir.","Hay bastante trabajo por hacer.","Otro"
"multiples","Solicité el visado sin problemas y me dieron uno de 10 años con <strong>multiples</strong> entradas.","Tenemos múltiples servicios disponibles.","Otro"
"parece","A mí me <strong>parece</strong> bien cualquier fecha y lugar, fin de semana, jueves... en alguna casa, en la calle (mejor)...","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"espero","te mando el link de un grupo de facebook que ha hecho una chica de aqui del foro para que hagamos quedadas todos los que estamos por aqui un poco perdidos:  <strong>espero</strong> habertelo copiado bien, es privado asi que ella te acepta y ya esta ok? parece que estoy ya va tomando forma y nos vamos poniendo todos de acuerdo para vernos y salir un poquejo por Munich!! hay que hacernos la adaptacion mas facil!! agregalo tu tambien  SALUDOS!!","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"principalmente","Tengo 2 niños y necesito saber sí hay algún colegio donde se hable <strong>principalmente</strong> español, ya qué la mayor tiene 7 años y la adaptación le sería más facil, el pequeño tiene 8 meses y no me preocupa.","El orégano se usa principalmente como condimento.","Otro",""
"algo","Solo pido que si <strong>algo</strong> no gusta yo lo discuto en privado, por que si yo creo actuo mal con alguien soy el primero en enviarle un privado disculpandome.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"esencialmente","Que estén justificados o no, en este caso particular es otra cosa, pero <strong>esencialmente</strong> se reduce a eso.","La película es esencialmente una parodia.","Otro"
"casi","Estoy pensando(<strong>casi</strong> decidida) a irme de au pair a USA pero tengo algunas dudas y miedos...","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"reducido","¿Esto ha <strong>reducido</strong> el crimen?","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"esencialmente","son sujetos <strong>esencialmente</strong> sanos fisica y mentalmente, porque corren ultramaratones, si estuvieran todo el dia bebiendo cerveza y tumbados en el sofa no estarian sanos, no? digo yo vamos","La película es esencialmente una parodia.","Otro"
"algunos","Puede que <strong>algunos</strong> podemos irnos a Noruega, Rusia o Madagascar y si las cosas nos salen mal volver y ya está.","Algunos dicen que murió ahogado.","Otro"
"deberias","#257 pues yo no me habia preocupado hasta ahora, pero ahora <strong>deberias</strong> poner un link sobre las opciones para que votemos con el pulgar cual deberias llevar a hawaii","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"a veces","NO se pa que nmecesitan copias de DNI y pasaporte a la vez, pero bueno, lo del notario ya jode un poco mas, con perdón, aparte que de todo eso excepto lo del notario ya tuve que entregarlas en el registro consular, pero con tal de sacarte la pasta, lo que sea, y el envio, mas dinero, pero mejor lo mando por mensajeria, aunque me cueste que lo de correos puede ser desesperante <strong>a veces</strong>.","A veces puedo ser un poco molesto.","Otro"
"particularmente","Los otros,<strong>particularmente</strong> a mi me molestan y mucho","Esto no es particularmente divertido.","Otro"
"la mayoria","<strong>la mayoria</strong> de los argentinos que conozco son estupendos, y van a seguir siéndolo digan lo que digan en las noticias.","La mayoría de ustedes me conoce.","Otro"
"encuentro","Ahora estoy en La Capital Hondureña y me <strong>encuentro</strong> a la caza de un lugar para vivir, y de gente con la que socializar.","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"sin duda","Pfff, menudas fiestas me corrí yo allí, madre mia! <strong>sin duda</strong> uno de los pueblos-ciudad mas bonitos que he visto de toda Alemania, y mira que he rulado por el país.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"casi","Lo de los zapatos.... bueno, a mi <strong>casi</strong> peor que los modelos me parece que NO los limpian y andan super felices con unos zapatones llenos de polvo, tierra y demás elementos no identificados.","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"quien sabe","Maco no sabes lo que lo siento,,,,te digo como LostSpaniard.#15..<strong>quien sabe</strong> a lo mejor es tu destino.","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"casi","Yo si fuese tú lo probaba todo! bueno o <strong>casi</strong> todo, que yo no trago el black pudding :S aunque no creo que es algo que se ponga en una comida de Navidad.","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"hay quien","<strong>hay quien</strong> lo usa como ingrediente para hacer otros platos, pero me consta porque lo he visto, que en Normandía se lo triscan a cucharadas como plato independiente, y que incluso está en los menús de no pocos restaurantes.","Hay quien dice que murió ahogado.","Otro"
"alguna","3.- MarceloP, no se quien eres ni qué tienes en contra de nuestra página, pero te agradecería que si tienes <strong>alguna</strong> queja nos la remitas a  e intentaremos solverntarlo lo antes posible.","Alguna pluma habrá caído por la abertura.","Otro"
"alguna","A veeer que no ando buscando maromo, solo amistades, contactos, incluso voy a ver si hay <strong>alguna</strong> au pair cerca de donde vivo, otras cosas ya surgirán digo yo.","Alguna pluma habrá caído por la abertura.","Otro"
"usualmente","Ten en consideración que un stagiere <strong>usualmente</strong> paga entre 300 y 450 euros, internet y todo lo demás incluido.","Usualmente no salgo los jueves por la tarde.","Otro"
"seguramente","Desde capullo hasta fascista, me diréis <strong>seguramente</strong> pasando por.... yo qué sé... por anormal, desgraciao, escólex o cosas así.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"especulo","Solo <strong>especulo</strong>, que nadie se enfade xd","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"considero","Yo me <strong>considero</strong> muy afortunado,He sufrido muchisimos accidentes en todo tipo de vehiculos y siempre he salido ileso de ellos pero el que se lleva la palma fue un accidente de coche a mas de 190 km/h di mas de 12 vueltas de campana (motor/maletero) y no me ocurrio nada, fueron 79 metros dando vueltas de campana,Y lo recuerdo como si fuera ayer, medido por la guadia civil!","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"varios","Por la ocasión enmarcado en un diálogo entre las culturas española y húngara, <strong>varios</strong> profesores universitarios, destacados especialistas en Miguel Hernández y en Miklós Radnóti, se han dado cita el próximo 10 de septiembre en la sede del Instituto Cervantes con el fin de analizar durante una jornada de estudios bajo el título hernandiano “En tu memoria me entrometo” las obras de ambos poetas en sus distintas manifestaciones, destacar sus respectivas expresiones artísticas, en ciertos aspectos sorprendentemente coincidentes, y valorar su relevancia y singularidad.","Tenemos varios servicios disponibles.","Otro"
"un par","Concertamos citas por email desde España y vinimos <strong>un par</strong> de días a verlos todos y decidir.","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"seguro","De todas maneras no sería mejor que te preocuparas por tener un <strong>seguro</strong> cuanto antes?","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"algun","El avión que he cogido llega a Stansted y tengo entendido que en la propia estación hay un tren que lleva a Cambridge, pero si hay <strong>algun</strong> otro medio para ir...","Algún lápiz habrá caído por la abertura.","Otro"
"poco","Una muestra mas de descontento, pero <strong>poco</strong> mas.","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"sugiero","Yo le <strong>sugiero</strong> que busque empleo a través de la Red Eures.","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"frecuentemente","Si leéis por ahi encontraréis <strong>frecuentemente</strong> la frase ""ha recuperado su figura solo un mes despues de dar a luz"" y expresiones similares.","Mis padres me visitan frecuentemente.","Otro"
"raramente","No se que más poneros... la luz es barata se suele pagar 20 euros por persona... la calefacción <strong>raramente</strong> se pone ya que es un piso que conserva muy bien el calor... y gas no hay y el agua es gratis...","Raramente ceno en ese restaurante.","Otro"
"esencialmente","En teoria necesitas la aprobacion labour opinion (<strong>esencialmente</strong> algo que diga que ese puesto de trabajo no puede ser cubierto por canadienses y la empresa puede contratar a un extrajero para ello).","La película es esencialmente una parodia.","Otro"
"tecnicamente","La prueba está en cómo (no) funcionan las instituciones, cómo <strong>tecnicamente</strong>, y de hecho, la democracia en España es sólo nominal y cómo la corrupción ha ido socavando las estructuras internas.","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"alguno","Si voy andando NO me paro para nadie, y no veo motivo <strong>alguno</strong> para pararme a hablar a un estraño que no conozco de nada.","Pedro no dejó rastro alguno.","Otro"
"bastantes","hola soy jose encantado de conocerte ya me contaras como te a ido por ahi. a mi me encantaria viajar por cuestiones de trabajo pero la verdad me da un poco de reparo,mi oficio es de soldador de tuberias de acero inox y mantenimiento industrial que la verdad quizas tenga <strong>bastantes</strong> oportunidades por alli.pero","Hay bastantes cosas por hacer.","Otro"
"encuentro","Todas las mananas enciendo la TV y <strong>encuentro</strong> una importante suma de programacion infantil desde bien temprano en la manana, y yo me estoy dando cuenta de que hay una importancia increible por la educacion de los mas pequenos si se le puede llamar asi, tambien se le puede llamar ninyera de las horas de programacion infantil que hay.","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"propongo","Chaval@s, <strong>propongo</strong> llamarles por teléfono hasta que lo solucionen... Con lo que me ha costado reunir toda la documentación para que ahora nos pase esto ¬¬","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"seguramente","<strong>seguramente</strong> hay gente que ve muchas cosas positivas, como tu, que hace a la gente normal parecer quejica.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"bastante","Si uno es inmigrante de baja cualificación, la cosa cambia y en USA o Brasil lo pueden pasar <strong>bastante</strong> peor.","Hay bastante trabajo por hacer.","Otro"
"podria","Reena, si no funciona la charla, pon los topes en la puerta!! todo depende si te puedes vengar despues... a mi como me gusta salir les <strong>podria</strong> cantar la tuna hasta las 6 de la manyana... ya lo saben por eso se comportan... jajja!!","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"especulo","Si yo creo que <strong>especulo</strong> con posibles soluciones, porque me tiene intrigada que habr'a pasado...debe venir la vena esa de querer resolverlo sin tener ni idea, de leer tantos libros de misterio...jejejeje...","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"practicamente","Hola amigos caribeños, mi nombre es Humberto y tengo mi mente puesta en mudarme a Puerto Rico,¿porqué?, pues por <strong>practicamente</strong> el único motivo por el que dejaría mi país natal, España, por amor.","La película es prácticamente una parodia.","Otro"
"usualmente","<strong>usualmente</strong>, los norteamericanos son muy amigables y afables.","Usualmente no salgo los jueves por la tarde.","Otro"
"creo","Una opción sería las Working Holidays, <strong>creo</strong> que también las organizan en Australia y Nueva Zelanda.","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"confio","Imgínate que palo, pero bueno,<strong>confio</strong> en la suerte y dentro de un par de semanas nos estaremos riendo de ésto(eso espero)","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"seguramente","Llego <strong>seguramente</strong> tarde pero quería sugerirte lo mismo que Menco_2: conozco españoles que consiguieron visados de 5 años (como lo oyes, no me preguntes cómo) para ir a estudiar inglés.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"medio","De hecho, se nota ya cómo el ciudadano <strong>medio</strong> tiene serios problemas para relacionar las cosas que pasan delante de él.","Juan está medio loco.","Mi asiento es el de en medio."
"parece","Y <strong>parece</strong> fácil.","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"ocasionalmente","Lo que veo en la pescaderia del Sainsbury's - Bacalao, salmon y trucha (habitualmente), filetes de pescadilla, colas de rape, halibut, doradas(<strong>ocasionalmente</strong>), jurel, atun, sardinas, gallos, mejillones, langostinos congelados (de ciento en viento).","Ocasionalmente visito a mis tíos en España.","Otro"
"seguido","Tambien esta el caso de intentar balbucear los escasos graznidos en polaco que ""crees"" conocer, que seran continuados por un incomodo silencio que desemboca en una mirada de espanto de toda la familia hacia tu novia, <strong>seguido</strong> por un susurro de ella al oido aclarandote: ""no has dicho Gracias, sino gato muerto"".","Mis padres me visitan muy seguido.","Otro"
"algo","hay que enviar <strong>algo</strong> sobre el seguro medico en la solicitud?","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"casi","Califonian-Andaluz,muy de acuerdo contigo y joder que creia que yo era el unico que me fijaba en esas cosas....Yo soy americano pero trato de mantener mis raices hispanas en lo posible por eso me interesa viajar a la tierra de mis ancestros para conocer mas de su cultura pero flipe un monton la primera vez cuando visite a mi familia espaniola porque observe justamente eso que describes cuando me llevaban a reuniones con sus amistades y es verdad,habia gente conversando y tocandose los huevos delante de medio mundo sin importarles que hubiesen ninios delante,eso me causo una impresion muy chocante porque ya sabes que aqui en America eso seria <strong>casi</strong> como estar conversando con un pervertido sexual y ahi lo tienen de lo mas normal,es mas casi todos los tios lo hacian pero esto no es unico en Espania porque despues fui de visita a Alemania,Austria y Hungria,donde tambien pude observar el mismo comportamiento,aparte de lo que dices de tirar las colillas de cigarros y ensuciar sin conciencia alguna los lugares publicos.En estos ultimos paises ademas pude observar lo facil que es para los hombres hacerse al habito de acariciar las piernas de la femina que tengan sentada en frente como interlocutora,joder!,asi como lo leen,esos tios entablan una conversazacion de lo mas normal con la mujer de su amigo y mientras van charlando igualmente van toqueteando de arriba a bajo los muslos de la mujer como si nada pasara alrededor de ellos,es mas bien una escena erotica diria yo pero para esas sociedades esta muy claro que es de lo mas normal el ser super cariniosos o amigables,ja,ja,ja!.Lo que hay que ver cuando uno sale de casa y pensar todos creen que nosotros los americanos somos los que pervertimos al mundo,no?.Saludos!","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"sugiero","Pues yo te <strong>sugiero</strong> nombres, que con el último no llegué a tiempo!","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"practicamente","<strong>practicamente</strong> cada provincia o ciudad ha creado la suya propia, eso es insostenible y absurdo, como la melonada de los aeropuertos en ciudades pequeñitas a los que ni van aviones.","La película es prácticamente una parodia.","Otro"
"algo","Además, la psiquiatría es una rama más científica o médica, mientras que la psicología es <strong>algo</strong> más teórica.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"gran parte","<strong>gran parte</strong> del país siempre ha tenido una cultura y una orientación occidental.","Una gran parte de ustedes me conoce.","Otro"
"ocasionalmente","Yo tampoco acabo de entender eso de tener que ""colgar"" tu vida y milagros por el facebook... Yo lo tengo, pero mis cosas privadas se quedan en privadas porque no llegan a internet; yo lo uso para otras cosas como conocer noticias, artículos, trabajos, conciertos... y también para contactar <strong>ocasionalmente</strong> con gente que conozco pero ahora está lejos.","Ocasionalmente visito a mis tíos en España.","Otro"
"algun","Soymabelén, he leido en <strong>algun</strong> sitio que el ""rhubarb"" se llamaba ruibarbo.","Algún lápiz habrá caído por la abertura.","Otro"
"deberias","Si es cierto que hay habitación por 500 que admitan pareja y compartiendo solo (<strong>deberias</strong> enterarte) con la landlady, yo lo pillaba.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"multiples","Yo viajo bastante y traigo de todo y de <strong>multiples</strong> paises, lo declaro todo y nunca tuve ningun problema, si algo debian dejarlo en cuarentena lo dejan y punto.","Tenemos múltiples servicios disponibles.","Otro"
"alguien","Al igual que a Lila, alguna vez <strong>alguien</strong> me ha preguntado que de donde soy porque mi acento no es 100% ingles, pero cuando digo que soy española mucha gente no se lo cree porque mi acento no es muy español que digamos.","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"seguro","que en vez de decirle... Mire, usted no puede decir eso asi que la vamos a echar a la puta calle y le vamos a poner un multón, <strong>seguro</strong> que si a un espabilado de telecinco o la sexta le da por ahi la empezarán a llevarla a programas y se sacará un pastón..","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"podria","Increible la rapidez de las dos.Seguiré en internet,es horrible.Tengo más dudas, mi intención es trabajar en fábrica y ahora las fábricas alemanas del sur cogen a estudiantes, estos cobran neto un pastón y el empresario elude impuestos.Yo como estudiante universitaria de aquí pero no de allí, esa es la cuestión, <strong>podria</strong> ser contratada bajo esas condiciones???, creo que solo me lo resolverá la oficina del paro alemán.","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"espero","<strong>espero</strong> que tengas suerte nightmare1988, españoles los hay en todos los lugares del planeta, encontrarás con paciencia.","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"alguna","También puedes hacer planes y contárselos, por si le entran ganas, supongo que conoces un poco sus gustos; puedes ponerle el caramelo en los labios con <strong>alguna</strong> actividad que sepas que le encanta y esperar a que pique :)","Alguna pluma habrá caído por la abertura.","Otro"
"reducido","iban a revolucionar las infraestructuras de transportes en la ciudad (ahora mismo muuuy por debajo de uno de los principales centros financieros/economicos del mundo) dando especial atencion a los lynks entre los aeropuertos y el centro, pero con el fmaoso ""credit crunch"" por lo visto han <strong>reducido</strong> mucho las inversiones y parece que la cosa se va a quedar + o - como esta...","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"practicamente","Lo único que todavía no he visto en Tesco, al menos en Irlanda, ha sido colorante para la comida, hacer las lentejas o el arroz con pollo sin eso como que no... ni me sabe y ni me entra por el ojo igual, pero por lo demás Tesco tiene <strong>practicamente</strong> de todo.","La película es prácticamente una parodia.","Otro"
"seguramente","Pues claro que tienen un acento fuerte al hablarlo y no todo el mundo lo habla, así que hay traductores aquí también pero son de Punjabi que son la mayoría de los que emigran a Canadá y <strong>seguramente</strong> los USA.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"probablemente ","No sabemos si es consciente de eso (<strong>probablemente </strong>no).","Probablemente sea mejor que hablemos con tu familia.","Otro"
"a veces","estoy totalmente de acuerdo contigo a que <strong>a veces</strong> emigramos pero no nos consideramos inmigrantes.","A veces puedo ser un poco molesto.","Otro"
"gran parte","De todas forma me refería al rechazo de <strong>gran parte</strong> de la sociedad hacia la institución.","Una gran parte de ustedes me conoce.","Otro"
"hay quien","No <strong>hay quien</strong> entienda a los den NIN por teléfono!!!!","Hay quien dice que murió ahogado.","Otro"
"puede","Esto ocurre en muchas profesiones en España: traductores, modistas, etc... Hay una especie de ley no escrita por la cual uno <strong>puede</strong> abusar del tiempo de los ""amigos"" y hasta de los no amigos.","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"siento","@reinaamidala, <strong>siento</strong> que te sintieras así.","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"gran parte","En cuanto la venda <strong>gran parte</strong> de mis problemas desaparecerán.","Una gran parte de ustedes me conoce.","Otro"
"podria","Si tú no eres el propietario del dinero, es decir, si tú no estás en la cuenta, el Banco no te puede sellar eso, de lo contrario, el empleado del banco es un mal profesional y <strong>podria</strong> tener problemas.","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"propongo","Buenas a todos!! <strong>propongo</strong> que organicemos una quedada los que espanoles que nos solemos meter en el foro y los amigos que tengamos, que seguro que entre todos nos juntamos un buen numero de paisanos!! Q os parece?? Seguro que sera divertido!","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"entiendo","<strong>entiendo</strong> algo que se llama libertad, pero la libertad no existe sin autodisciplina, de otras forma sería la ley del más fuerte y de abusos en nombre de la libertad.","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"un poco","Para tapitas, a mí me gusta el Port House en South William Street Dublin 2 (no Porter House!), pero es <strong>un poco</strong> carito...","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"rara vez","Yo soy mulata y me encanta serlo y jamás me he sentido mal, y nunca me he sentido que me han despreciado por ser negra si he notado <strong>rara vez</strong> que alguien se ha sentido mal por molestarle mis encantos, a las mujeres eh(negras, blancas y chinas).","Rara vez ceno en ese restaurante.","Otro"
"mas o menos","Como español habrá cosas que me gustaran <strong>mas o menos</strong>, pero lo principal es tratar de aprender su idioma e integrarte en su sociedad y que conste que mi mujer es húngara y que no me puedo quejar de como me han tratado hasta ahora.","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"frecuentemente","en mi caso mis padres no me bautizaron porque quisieron que eligiera cuando fuera mayorcita pero sí me enseñaron las diferentes religiones, hablamos de esto largo y tendido (bueno, esto cuando ya era más mayor xD) y me inculcaron unos valores, etc no católicos pero valores válidos igualmente ;) - gran parte de mi familia sí es católica así que acudí muy <strong>frecuentemente</strong> a misa con mis abuelos, por ejemplo, además de empaparme de sus creencias y también fui dos años, porque quise ""estar dentro"", a clases de religión.","Mis padres me visitan frecuentemente.","Otro"
"practicamente","Nosotros manejamos el 100% de la inversión para las cosas <strong>practicamente</strong> solo aprovechables en la empresa y 50% para temas generales de productividad (idiomas y cursos generales de negocio básicamente).","La película es prácticamente una parodia.","Otro"
"raramente","Los españoles fuera de España (al menos los emigrantes actuales, quizá hace décadas en Argentina o Suiza era diferente) <strong>raramente</strong> se ayudan / se interesan entre ellos como colectivo, mayoritariamente para salir / ""pasarlo bien"" porque los extranjeros ""no saben divertirse"" :).","Raramente ceno en ese restaurante.","Otro"
"un par",", lo que yo hice al poco de llegar a Paris (y lo que haré en breve en Edinburgo) es darte de alta consular, es decir, ir al consulado espanyol de tu ciudad con tu pasaporte, un justificante de residencia, <strong>un par</strong> de fotos de carné y... vaya no me acuerdo de nada mas (llamales y pregunta, asi vas preparada) y declarar que eres residente en tal ciudad.","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
